enzyme_id,compound_id
EC1.12.98.1,C00876
EC1.12.98.1,C01080
EC1.12.99.6,C16396
EC1.12.99.6,C16399
EC1.13.11.1,C02375
EC1.13.11.1,C03585
EC1.13.11.1,C06730
EC1.13.11.1,C04112
EC1.13.11.1,C16472
EC1.13.11.1,C16475
EC1.13.11.1,C16473
EC1.13.11.1,C16474
EC1.13.11.1,C18240
EC1.13.11.1,C18241
EC1.13.11.1,C00090
EC1.13.11.1,C02480
EC1.13.11.11,C00078
EC1.13.11.11,C02700
EC1.13.11.14,C00196
EC1.13.11.14,C04480
EC1.13.11.15,C01161
EC1.13.11.15,C04642
EC1.13.11.16,C04044
EC1.13.11.16,C04479
EC1.13.11.16,C12623
EC1.13.11.16,C12624
EC1.13.11.18,C17267
EC1.13.11.18,C00094
EC1.13.11.2,C02923
EC1.13.11.2,C06210
EC1.13.11.2,C06730
EC1.13.11.2,C06760
EC1.13.11.2,C07085
EC1.13.11.2,C07087
EC1.13.11.2,C02375
EC1.13.11.2,C07089
EC1.13.11.2,C06336
EC1.13.11.2,C02501
EC1.13.11.2,C00090
EC1.13.11.2,C00682
EC1.13.11.20,C00606
EC1.13.11.25,C04793
EC1.13.11.25,C04844
EC1.13.11.27,C00166
EC1.13.11.27,C05852
EC1.13.11.27,C01179
EC1.13.11.27,C00544
EC1.13.11.3,C00230
EC1.13.11.3,C01163
EC1.13.11.33,C01595
EC1.13.11.33,C04717
EC1.13.11.33,C00219
EC1.13.11.33,C05966
EC1.13.11.34,C00219
EC1.13.11.34,C05356
EC1.13.11.34,C00909
EC1.13.11.37,C02814
EC1.13.11.37,C02222
EC1.13.11.37,C03676
EC1.13.11.38,C03203
EC1.13.11.38,C16149
EC1.13.11.39,C06586
EC1.13.11.39,C06587
EC1.13.11.39,C05618
EC1.13.11.39,C16266
EC1.13.11.39,C02526
EC1.13.11.39,C01273
EC1.13.11.4,C00628
EC1.13.11.4,C02167
EC1.13.11.41,C13635
EC1.13.11.41,C00156
EC1.13.11.46,C01179
EC1.13.11.46,C03198
EC1.13.11.5,C00544
EC1.13.11.5,C01036
EC1.13.11.52,C00643
EC1.13.11.52,C05648
EC1.13.11.52,C00780
EC1.13.11.52,C05647
EC1.13.11.52,C01598
EC1.13.11.52,C05642
EC1.13.11.52,C00078
EC1.13.11.52,C02700
EC1.13.11.53,C15606
EC1.13.11.53,C08276
EC1.13.11.54,C15606
EC1.13.11.54,C01180
EC1.13.11.55,C00087
EC1.13.11.55,C00283
EC1.13.11.56,C03012
EC1.13.11.56,C06204
EC1.13.11.57,C01424
EC1.13.11.57,C04434
EC1.13.11.6,C00632
EC1.13.11.6,C04409
EC1.13.11.63,C02094
EC1.13.11.63,C00376
EC1.13.11.66,C00530
EC1.13.11.66,C06603
EC1.13.11.74,C01987
EC1.13.11.74,C03824
EC1.13.11.78,C05678
EC1.13.11.79,C01847
EC1.13.11.79,C03114
EC1.13.11.8,C05616
EC1.13.11.8,C03671
EC1.13.11.8,C18345
EC1.13.11.8,C01424
EC1.13.11.8,C04434
EC1.13.11.8,C00230
EC1.13.11.8,C04484
EC1.13.11.80,C12324
EC1.13.11.80,C12325
EC1.13.11.81,C04874
EC1.13.11.81,C21065
EC1.13.11.83,C12456
EC1.13.11.83,C12457
EC1.13.11.89,C06455
EC1.13.11.9,C01059
EC1.13.11.9,C18232
EC1.13.11.93,C00322
EC1.13.11.93,C01087
EC1.13.12.16,C18091
